,NS.1,NS.2,NS.3,NS.4,NS.5,NS.6,NS.7,NS.8,NS.9,NS.10,NS.11,NS.12,NS.13,NS.14,NS.15,NS.16,NS.17,NS.18,NS.19,NS.20,OA.1,OA.2,OA.3,OA.4,OA.5,OA.6,OA.7,OA.8,OA.9,OA.10,HS.1,HS.2,HS.3,HS.4,HS.5,HS.6,HS.7,HS.8,HS.9,HS.10,MA.1,MA.2,MA.3,MA.4,MA.5,SCO.1,SCO.2,SCO.3,SCO.4,SCO.5,SCO.6,SCO.7,SCO.8,SCO.9,SCO.10,>>DiffResult,NS_mean,OA_mean,HS_mean,MA_mean,SCO_mean,Log2FC(Max/Min),ANOVA_pvalue,MA-HS,NS-HS,OA-HS,SCO-HS,NS-MA,OA-MA,SCO-MA,OA-NS,SCO-NS,SCO-OA,ANOVA_p.adjust,Diff
ACP3-N94-H4N3,18.08783925,0,18.30642079,0,18.66487785,0,17.71150073,0,18.26035279,0,18.04072874,0,0,18.32224801,18.43985769,18.81712975,0,0,18.78598754,0,19.44502216,20.0779935,20.15374822,19.480789,19.78131521,17.46222114,18.67704328,18.76763715,21.13256056,18.95465979,0,0,0,18.56776811,0,18.56593431,17.39779684,0,0,0,0,0,0,21.00216171,20.17880472,0,0,0,0,16.5036894,18.0676496,0,0,0,17.67064541,>>DiffResult,9.171847157,19.393299,5.453149926,8.236193287,5.224198441,14.16910056,0.002603369,0.973768416,0.783523648,0.004574593,0.999996767,0.999436054,0.126065352,0.965085577,0.022754658,0.744309326,0.003813059,0.010678379,YES
ACP3-N94-H4N3F1,0,17.89543277,0,0,16.39872443,0,17.82828971,0,17.19572667,17.23283551,17.72704578,0,0,0,18.11517311,19.44754339,0,0,18.17553135,0,19.36237039,20.01821379,19.88091292,18.57913301,20.57147303,17.81523453,19.1402547,18.28809747,21.70644119,18.58149355,0,16.83699006,17.38002212,18.93803768,18.91628653,18.92994181,0,0,0,0,17.57653303,0,0,21.63598626,21.34022222,0,0,17.73891783,0,17.76107537,19.496359,0,0,0,0,>>DiffResult,8.000815136,19.39436246,9.100127819,12.1105483,5.49963522,13.89472724,0.005821486,0.966646283,0.997243497,0.067430435,0.877429917,0.869136915,0.527901164,0.619127562,0.009499575,0.941084092,0.005414586,0.019782898,YES
ACP3-N94-H4N4S1,0,0,0,0,0,0,19.9040991,0,0,0,0,0,0,17.10622834,0,0,17.98312685,0,0,0,18.88520436,0,19.39014579,18.87941849,20.1304555,0,0,0,0,18.93551128,0,0,0,17.49434621,0,18.94737457,17.60924189,0,0,0,18.54506888,18.51777273,0,22.51816254,22.46623538,19.59485582,0,0,19.03862532,0,20.22215559,0,0,0,19.68284953,>>DiffResult,2.749672714,9.622073542,5.405096267,16.40944791,7.853848626,13.65977519,0.02708864,0.15557905,0.931818985,0.81136517,0.969081163,0.021806766,0.610963466,0.382850095,0.258342945,0.55344985,0.990769737,0.065972126,NO
ACP3-N94-H5N4,16.40398242,0,16.51983327,0,0,0,19.36532031,17.3688121,0,0,0,17.72482572,0,0,0,0,0,0,18.94089906,0,20.1204147,20.42446157,20.53228363,20.16425411,21.12834609,19.6295436,19.59203791,19.89730971,21.99998565,19.72520907,0,0,18.57406827,18.41254556,18.39793905,19.29767812,0,17.62601288,0,0,18.87913804,0,0,22.86636107,22.52055523,18.61016044,0,18.45153852,18.79958749,17.85988077,20.27743927,17.27881591,0,17.67228168,18.81254678,>>DiffResult,5.316183644,20.3213846,9.230824388,12.85321087,14.77622509,15.00520096,0.000284493,0.924981413,0.725484708,0.028447058,0.550273147,0.353945092,0.455851141,0.992500803,0.000153769,0.032032076,0.550315103,0.00201559,YES
ACP3-N94-H5N4F1,0,0,0,0,16.39351038,0,19.2128763,0,0,0,0,17.84046653,0,0,17.24279318,18.04324021,0,0,0,0,17.64837496,19.05546876,20.53270404,20.12906696,21.29710319,20.46541336,19.33122797,19.67859923,20.67670496,17.88245415,0,0,19.22047266,17.30516918,0,0,0,17.98380144,0,0,16.55214942,0,0,22.53568418,22.17644544,18.66668486,0,19.22685261,19.27452404,18.01162005,20.63747755,17.5365327,0,18.24719461,19.17238536,>>DiffResult,4.43664433,19.66971176,5.450944328,12.25285581,15.07732718,15.23306743,2.47E-05,0.50095837,0.997076018,0.00132816,0.055998705,0.271136767,0.413286708,0.962605841,5.28E-05,0.007218485,0.675540804,0.000307305,YES
ACP3-N94-H5N4S1,0,0,0,0,0,17.70705358,23.20647594,18.50021089,0,0,0,21.68541142,0,20.3502234,0,20.19386365,0,0,0,18.98948215,0,22.80049928,0,0,24.89229635,22.65078783,0,0,24.12410352,0,0,0,21.84370655,0,0,21.64855169,0,18.48952055,18.08832803,0,0,0,20.42992911,25.58664981,0,22.61534648,20.51302843,19.65088763,20.0438109,19.47387639,23.69896284,20.60423999,18.68662321,21.61846628,22.83078522,>>DiffResult,7.031636052,9.446768698,8.007010682,9.203315783,20.97360274,13.94196669,0.010878246,0.999443351,0.999024043,0.997447167,0.037601701,0.991902998,0.999999022,0.203104756,0.968901858,0.005324325,0.082330398,0.033030311,YES
ACP3-N94-H5N4S1F1,0,20.92392907,17.89836328,0,0,0,0,0,0,0,17.93990611,21.45248398,0,0,23.09263438,24.08931719,0,0,0,0,23.97745365,0,24.53524265,23.90386262,0,22.85446588,0,0,26.57602793,0,19.80018494,19.94796962,0,0,0,22.1022737,22.40311735,20.6996364,0,0,23.29002688,0,19.26344817,24.07437107,0,19.90651291,0,0,0,0,23.18610124,17.96156035,19.36915766,19.18342561,20.42047235,>>DiffResult,6.2698317,12.18470527,10.4953182,13.32556922,12.00272301,7.055737525,0.487740168,0.989716014,0.857707455,0.996909183,0.998017179,0.702666253,0.999702326,0.99946525,0.637702962,0.66431414,0.999999559,0.569598658,NO
ACP3-N94-H5N4S2,0,23.63649271,0,0,0,17.7777556,22.56725994,21.87218174,0,0,22.21946224,0,22.51327534,18.22748332,22.92754091,23.3879391,22.28524783,0,0,0,23.63675032,0,24.02354124,23.79800784,24.44442035,22.0173037,18.44175714,22.89219729,25.10091964,22.1607179,22.02116675,18.00912293,21.90644216,0,0,23.9062463,17.85702948,20.93274868,0,0,22.89405206,0,0,22.18512841,0,0,0,0,0,0,20.42945629,0,0,21.90578066,0,>>DiffResult,10.87073194,20.65156154,12.46327563,9.015836093,4.233523695,16.41803785,0.016963714,0.972626214,0.994460937,0.39714075,0.392002639,0.996275614,0.251872645,0.914036089,0.118183315,0.464501111,0.006924842,0.045587544,YES
ACP3-N94-H5N4S2F1,22.25147972,0,0,22.13018708,21.08497177,22.0427327,22.24405665,21.83182753,18.86464342,22.93530965,0,22.75246749,18.404321,22.1358028,0,24.8169041,22.23039592,0,22.78552139,0,23.9062072,24.19428983,24.61813964,23.23050264,24.66100113,22.94893172,0,23.07759924,25.63577518,23.47065281,22.47059971,22.05683829,23.12403753,23.54151191,0,0,22.26879051,21.80829514,22.13929835,0,22.95066132,22.29798301,21.33832459,24.82812522,0,21.83475453,0,23.21891767,0,0,0,0,21.49878896,0,20.96798109,>>DiffResult,15.32553106,21.57430994,15.74093714,18.28301883,8.752044225,12.82226571,0.098510178,0.990919606,0.999971447,0.705850155,0.547823701,0.977513532,0.976173743,0.440515681,0.516609806,0.465839322,0.052644509,0.170101031,NO
ACP3-N94-H5N5S2,0,0,0,0,0,0,20.15694641,19.48176273,0,0,19.64729787,18.3745586,0,19.404476,19.91903629,20.52475357,19.09274283,0,19.489516,0,19.93667566,20.05908522,20.78657546,19.5028552,20.90884092,0,20.06156896,19.76225699,21.34731787,20.05119356,0,0,0,19.70610994,20.24538519,0,0,0,0,0,20.00148506,18.64520964,0,0,0,0,0,0,0,18.77053224,0,0,0,0,20.10223599,>>DiffResult,8.804554515,18.24163698,3.995149513,7.729338939,3.887276823,14.35436016,0.004471766,0.939199673,0.633844792,0.006695715,0.999999873,0.999221331,0.213524598,0.932965154,0.062512489,0.61415515,0.006186875,0.016076275,YES
ACP3-N94-H5N5S2F1,0,0,0,0,0,0,0,18.73868763,0,0,0,0,0,0,0,21.0832581,0,0,0,0,19.37967371,0,21.44061107,0,20.9658536,0,19.68192839,19.57224295,21.78364644,19.56142115,0,18.05901002,19.70477517,0,20.51872528,20.62737523,0,0,0,0,0,0,0,20.72276602,0,0,0,0,0,0,0,0,0,0,19.68874853,>>DiffResult,1.991097287,14.23853773,7.89098857,4.144553204,1.968874853,12.26966288,0.002831392,0.912727983,0.331959183,0.403220249,0.4737825,0.983078498,0.163348664,0.987495297,0.00226577,0.999999999,0.010601408,0.011532744,YES
ACP3-N94-H6N5S1,0,22.52346828,21.20744666,0,0,0,22.5199694,19.47506866,0,20.02304411,0,0,0,0,22.22442084,22.78586417,22.30104645,0,21.89979395,0,22.89251803,23.45967998,23.11030177,22.80507252,22.90956309,0,22.47197346,22.66626528,24.68614876,23.14430159,20.96306905,0,21.48490028,22.27749991,0,22.321365,0,21.99941106,0,21.4633777,0,21.78319471,21.12726946,23.64779841,0,20.43047002,20.23548526,0,0,0,21.47153529,0,20.27865147,0,20.6457169,>>DiffResult,9.748006126,20.81458245,13.0509623,13.31165252,10.30618589,11.06657632,0.110640079,0.999999042,0.927902124,0.480610748,0.977534498,0.961394881,0.696731848,0.985166254,0.068651313,0.999920084,0.190068872,0.184242525,NO
ACP3-N94-H6N5S1F1,0,22.39966002,0,20.50165959,20.07835175,0,22.65994309,21.05175794,0,21.73282876,21.0306542,21.50275304,18.97312191,0,22.65395058,23.49535878,22.44832175,0,21.61086488,19.12941915,23.01325236,23.59911384,23.81811193,22.67660005,24.27309629,21.98671468,22.78946225,22.57765665,25.07446874,23.76340282,21.44902333,0,0,22.30124477,23.06260601,23.05435685,21.42686429,19.39430815,0,21.94028381,22.58642469,21.59550636,20.85640162,23.85920812,22.85356365,20.03698346,0,0,0,20.50793181,23.37013037,19.3270431,0,20.73369908,20.37711712,>>DiffResult,14.96343227,23.35718796,15.26286872,22.35022089,12.43529049,10.92189746,0.040855049,0.601558597,0.999986922,0.270470397,0.954062553,0.473000002,0.999589111,0.270333434,0.126312184,0.94862434,0.063658922,0.088817604,NO
ACP3-N94-H6N5S2,0,22.96847431,0,21.80981582,22.26517206,21.6306147,23.71530306,22.64170538,23.02005125,22.51051981,22.68217049,22.52856021,21.58836482,21.68597585,22.62834252,24.07593013,22.33279703,21.00496362,22.66756686,20.54594988,22.66390855,23.32646442,23.89927914,23.09933408,24.24042048,0,23.38553885,23.43748836,24.77443265,23.42938414,22.3025337,0,19.20546761,23.0617306,23.15026427,22.84751317,21.42014657,20.99176267,21.83269747,21.32358704,22.27667975,22.215441,21.49090372,23.83478285,22.97801282,21.04480127,0,22.20721978,21.04966813,22.1070917,23.34307443,0,21.16436671,0,20.1459031,>>DiffResult,20.11511389,21.22562507,19.61357031,22.55916403,15.10621251,7.452951515,0.314693299,0.952535503,0.999798148,0.989023934,0.670104703,0.96619766,0.997570537,0.382584847,0.995419416,0.434334062,0.376920096,0.405150294,NO
ACP3-N94-H6N5S2F1,21.22616165,22.14426898,21.40935981,21.38735638,22.3938482,21.66245654,22.28866344,21.83358547,22.47306148,20.22334432,23.03705737,22.09288984,21.2600419,21.71858403,22.79898471,24.24219344,22.65279871,0,22.21505538,0,23.03183479,23.68565974,24.04778316,23.14061598,24.23399195,21.80526217,23.21552858,23.24069487,25.09003081,23.55893765,22.48477684,21.62319576,22.05953961,23.08003961,23.5931954,23.59033025,22.11084898,20.79412537,21.90008842,22.11295288,22.33658688,21.83419055,21.22034832,23.22738217,22.91243127,0,21.14674661,22.0091949,0,21.50457278,22.9835839,20.11290248,20.98464519,21.39952123,22.45962605,>>DiffResult,19.85298558,23.50503397,22.33490931,22.30618784,17.26007931,6.244954656,0.125921074,0.999999998,0.7985885,0.990914585,0.294404751,0.912525635,0.99541188,0.503757405,0.480457815,0.77180333,0.125003927,0.204731204,NO
ACP3-N94-H6N5S3,20.47078506,0,19.92321942,0,20.60354862,0,21.30856677,20.16221223,21.4284736,20.93167492,21.44351158,21.2272032,20.0136189,0,21.5483499,22.93688515,0,0,21.11736777,0,0,20.66082846,22.73857877,20.56880115,19.55787058,0,21.48939902,20.97571427,23.07758173,21.41521009,20.17511776,0,0,20.70912913,21.62731019,21.21002608,0,0,19.28515687,19.75940628,0,0,0,0,21.29517922,0,0,0,0,0,0,0,0,0,0,>>DiffResult,13.65577086,17.04839841,12.27661463,4.259035843,0,17.04839841,0.000553515,0.497038559,0.994841974,0.765447869,0.030824743,0.249362136,0.091427419,0.911299173,0.869626179,0.002696484,0.001007614,0.003308893,YES
ACP3-N94-H6N5S3F1,19.95710368,0,18.79986306,19.40066347,20.96232626,19.61745027,0,0,0,21.32491121,20.92136336,21.20151225,0,0,20.94623034,23.01798621,0,0,20.476133,0,0,21.09991257,22.20793787,0,0,0,21.24076221,20.90853462,23.07762395,20.85324836,20.2550339,0,0,0,21.95947027,22.08884474,20.07639725,0,0,19.9693227,0,0,17.97946878,0,20.59623907,0,0,0,0,0,0,0,0,19.83029446,20.23760649,>>DiffResult,11.33127715,12.93880196,10.43490688,7.71514157,4.006790095,8.932011863,0.335790672,0.989114157,0.999438719,0.982930502,0.642695367,0.956727804,0.889399865,0.965796909,0.994502817,0.37579772,0.321235282,0.424826077,NO
ACP3-N94-H7N6S1,0,18.75396336,0,0,0,0,0,0,0,0,18.575795,18.51286271,0,0,18.95139172,20.17997184,0,0,0,0,0,20.25372004,20.29909708,19.31547444,21.02875989,18.02629238,0,0,21.78881256,20.23995837,0,0,18.40166149,19.74991745,20.30523937,18.91961151,0,0,0,0,0,18.84164594,0,0,19.96234673,0,0,0,0,0,19.65434163,0,0,0,19.61547333,>>DiffResult,4.748699232,14.09521148,7.737642982,7.760798533,3.926981496,10.16822998,0.093192621,1,0.915577831,0.53324559,0.883318591,0.964223048,0.713946074,0.939363942,0.078642929,0.999336496,0.110339768,0.164317004,NO
ACP3-N94-H7N6S1F1,0,18.5963034,0,0,0,0,19.67871457,0,0,0,18.73533381,18.35658561,0,0,18.94392867,20.42599891,18.79486464,0,0,0,18.61327046,20.68126115,20.85469999,20.27882169,21.37365007,18.25364858,0,20.05239622,22.30818466,20.42321549,0,0,18.93099985,20.06043109,20.57275,0,0,17.57198633,0,0,19.17772326,0,0,19.85354406,19.88587749,0,0,19.12610414,0,0,20.01349615,0,0,18.17126046,20.56997986,>>DiffResult,6.676586481,18.28391483,7.713616726,11.78342896,7.78808406,11.60732835,0.029098993,0.929485625,0.998441704,0.097181153,0.999999976,0.806115408,0.706147896,0.933784353,0.018049876,0.997956199,0.101083255,0.068999437,NO
ACP3-N94-H7N6S2,0,0,0,0,0,0,19.27413318,0,0,0,0,18.82935469,0,0,0,0,0,0,0,0,0,20.17365969,20.85483326,0,20.93470086,0,20.1854978,20.27517787,21.60903383,19.59269437,0,0,0,18.84773999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.34479289,>>DiffResult,1.905174394,14.36255977,1.884773999,0,1.934479289,14.36255977,7.60E-05,0.985029681,0.999999999,0.000970649,0.999999981,0.978154952,0.002150452,0.983503783,0.000116704,0.999999996,0.001023921,0.00075336,YES
ACP3-N94-H7N6S2F1,0,0,0,0,0,0,18.47261061,0,0,0,19.71762623,18.03433753,0,0,0,20.84827152,0,0,0,0,0,0,20.94532687,0,21.1235238,0,19.03058333,20.13209553,21.88740431,19.55438187,0,0,18.06816219,19.83726406,20.33822527,19.63554361,0,0,0,0,0,0,0,0,0,0,0,18.7012131,0,0,19.293243,0,0,0,19.14305167,>>DiffResult,3.853642294,12.26733157,7.787919512,0,5.713750777,12.26733157,0.076966941,0.495196459,0.777166953,0.785904299,0.984197718,0.904608172,0.097182631,0.759952576,0.114725508,0.982006853,0.464799581,0.139929011,NO
ADAM9-N125-H5N2,20.60919869,0,0,0,0,0,0,0,0,0,0,0,20.48033898,0,0,21.46834561,0,0,20.02715176,0,0,0,0,0,0,0,0,20.01712936,0,0,0,0,0,0,0,0,0,0,0,0,0,22.27249692,0,22.07357014,20.86832686,0,0,0,0,21.45685968,0,0,0,0,21.11147458,>>DiffResult,4.129251752,2.001712936,0,13.04287878,4.256833426,13.04287878,0.052816223,0.027662049,0.647991586,0.977991399,0.736974401,0.163806901,0.086823359,0.251572484,0.953962051,0.99999924,0.966049996,0.107191257,NO
ADGRG2-N551-H9N2,18.77171213,19.86811,18.54987169,0,0,19.21227683,17.8804002,19.40610755,19.67686587,20.01770622,18.56475817,0,0,18.77191525,0,0,18.65034886,18.58556263,19.00104715,18.58466723,0,0,0,0,0,0,0,18.34888056,0,0,0,18.1467209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08610904,17.66196593,0,19.05191136,0,0,17.5310145,19.03481806,>>DiffResult,13.27706749,1.834888056,1.81467209,0,9.136581889,13.27706749,0.000181717,0.992577038,0.002961922,1,0.223467896,0.009512723,0.992256662,0.207551895,0.003023766,0.635956392,0.225867584,0.001454978,YES
AGRN-N135-H5N4S2,22.32289872,22.92857527,22.31892043,21.62857463,22.87209078,21.88067739,0,0,23.03412251,22.40940732,22.5813682,0,23.48696445,23.34227684,22.10763851,0,22.5694405,21.26841124,22.46900605,21.59183617,0,0,20.74500673,0,21.52438152,0,21.71293354,0,0,0,0,0,0,0,21.78966039,22.73775082,0,20.24992667,20.65661682,0,0,0,0,0,0,0,0,0,0,0,21.52439692,0,0,21.96952542,21.03810407,>>DiffResult,17.94061045,6.398232178,8.54339547,0,6.453202641,17.94061045,0.000996104,0.492696163,0.102754291,0.987206265,0.988396742,0.004353291,0.744250498,0.738243326,0.025678438,0.026687976,0.999999994,0.005221728,YES
