protein,Raw_NS.1,Raw_NS.2,Raw_NS.3,Raw_NS.4,Raw_NS.5,Raw_NS.6,Raw_NS.7,Raw_NS.8,Raw_NS.9,Raw_NS.10,Raw_NS.11,Raw_NS.12,Raw_NS.13,Raw_NS.14,Raw_NS.15,Raw_NS.16,Raw_NS.17,Raw_NS.18,Raw_NS.19,Raw_NS.20,Raw_OA.1,Raw_OA.2,Raw_OA.3,Raw_OA.4,Raw_OA.5,Raw_OA.6,Raw_OA.7,Raw_OA.8,Raw_OA.9,Raw_OA.10,Raw_HS.1,Raw_HS.2,Raw_HS.3,Raw_HS.4,Raw_HS.5,Raw_HS.6,Raw_HS.7,Raw_HS.8,Raw_HS.9,Raw_HS.10,Raw_MA.1,Raw_MA.2,Raw_MA.3,Raw_MA.4,Raw_MA.5,Raw_SCO.1,Raw_SCO.2,Raw_SCO.3,Raw_SCO.4,Raw_SCO.5,Raw_SCO.6,Raw_SCO.7,Raw_SCO.8,Raw_SCO.9,Raw_SCO.10,>>NormaExpression,NS.1,NS.2,NS.3,NS.4,NS.5,NS.6,NS.7,NS.8,NS.9,NS.10,NS.11,NS.12,NS.13,NS.14,NS.15,NS.16,NS.17,NS.18,NS.19,NS.20,OA.1,OA.2,OA.3,OA.4,OA.5,OA.6,OA.7,OA.8,OA.9,OA.10,HS.1,HS.2,HS.3,HS.4,HS.5,HS.6,HS.7,HS.8,HS.9,HS.10,MA.1,MA.2,MA.3,MA.4,MA.5,SCO.1,SCO.2,SCO.3,SCO.4,SCO.5,SCO.6,SCO.7,SCO.8,SCO.9,SCO.10,>>DiffResult,NS_mean,OA_mean,HS_mean,MA_mean,SCO_mean,Log2FC(Max/Min),ANOVA_pvalue,MA-HS,NS-HS,OA-HS,SCO-HS,NS-MA,OA-MA,SCO-MA,OA-NS,SCO-NS,SCO-OA,ANOVA_p.adjust,Diff
ACP3-N333-H8N2,,4409906.436,,,,,1510907.381,,,,3827473.137,3224406.673,,4242884.399,,8288548.34,7326275.264,,,,12781717.75,14558343.87,2640889.825,14716976.34,10775767.04,6861240.669,1799453.863,,50176968.95,3211867.843,,1923767.313,,3834939.628,,,,,,2064015.05,8716930.924,5637565.237,1897300.542,7083551.868,,,,,,,8775156.538,,,,,>>NormaExpression,0,22.07231694,0,0,0,0,20.52698475,0,0,0,21.8679612,21.62060273,0,22.01661428,0,22.98268819,22.80464867,0,0,0,23.60757851,23.79534301,21.33259323,23.81097806,23.36128736,22.71003825,20.77912848,0,25.58052202,21.61498155,0,20.87550363,0,21.87077281,0,0,0,0,0,20.97702276,23.05538901,22.42664105,20.85551756,22.75604172,0,0,0,0,0,0,23.0649936,0,0,0,0,>>DiffResult,7.694590838,20.65924505,6.37232992,17.81871787,2.30649936,18.35274569,0.000360579,0.197505643,0.996331037,0.012491037,0.873254239,0.224139968,0.982023213,0.034567562,0.007920692,0.590843232,0.000691381,0.002391557,YES
ACP3-N94-H3N3F1,,,,,,,,,,,,,,,,99886.80128,,,,,100067.4916,175448.9926,,88625.87567,187460.0556,,,,815280.4344,124591.64,,,,36431.58803,,,,,,,,,,,479586.9294,,,65766.26474,,,,,,,,>>NormaExpression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.60802088,0,0,0,0,16.61062826,17.42070036,0,16.43545663,17.51623139,0,0,0,19.63693864,16.92685932,0,0,0,15.15294186,0,0,0,0,0,0,0,0,0,0,18.87143582,0,0,16.00508205,0,0,0,0,0,0,0,>>DiffResult,0.830401044,10.45468146,1.515294186,3.774287165,1.600508205,9.624280416,0.001710337,0.954802018,0.998138762,0.01087925,0.999999738,0.85231409,0.244874018,0.960558043,0.000887938,0.997060259,0.011918678,0.007934066,YES
ACP3-N94-H4N3,278599.6792,,324175.6802,,415611.0195,,214630.2658,,313987.6296,,269649.0439,,,327751.6696,355589.6071,461869.779,,,452006.6122,,713730.6182,1106822.312,1166493.619,731646.3932,901091.2038,180571.8085,419130.4579,446293.6991,2298975.925,508066.197,,,,388556.3716,,388062.7934,172685.6277,,,,,,,2100295.696,1186930.068,,,,,92918.21852,274727.9843,,,,208637.432,>>NormaExpression,18.08783925,0,18.30642079,0,18.66487785,0,17.71150073,0,18.26035279,0,18.04072874,0,0,18.32224801,18.43985769,18.81712975,0,0,18.78598754,0,19.44502216,20.0779935,20.15374822,19.480789,19.78131521,17.46222114,18.67704328,18.76763715,21.13256056,18.95465979,0,0,0,18.56776811,0,18.56593431,17.39779684,0,0,0,0,0,0,21.00216171,20.17880472,0,0,0,0,16.5036894,18.0676496,0,0,0,17.67064541,>>DiffResult,9.171847157,19.393299,5.453149926,8.236193287,5.224198441,14.16910056,0.002603369,0.973768416,0.783523648,0.004574593,0.999996767,0.999436054,0.126065352,0.965085577,0.022754658,0.744309326,0.003813059,0.010678379,YES
ACP3-N94-H4N3F1,,243814.9137,,,86397.84626,,232727.7163,,150115.8782,154027.2565,216955.4236,,,,283928.4778,714979.0168,,,296059.2656,,673990.2759,1061897.017,965496.4485,391629.3388,1558224.964,230631.2162,577816.6315,320084.4274,3422076.944,392270.6504,,117067.2278,170571.0946,502246.0565,494730.6005,499435.5263,,,,,195461.5962,,,3258972.661,2654891.886,,,218748.1422,,222133.7177,739585.3111,,,,,>>NormaExpression,0,17.89543277,0,0,16.39872443,0,17.82828971,0,17.19572667,17.23283551,17.72704578,0,0,0,18.11517311,19.44754339,0,0,18.17553135,0,19.36237039,20.01821379,19.88091292,18.57913301,20.57147303,17.81523453,19.1402547,18.28809747,21.70644119,18.58149355,0,16.83699006,17.38002212,18.93803768,18.91628653,18.92994181,0,0,0,0,17.57653303,0,0,21.63598626,21.34022222,0,0,17.73891783,0,17.76107537,19.496359,0,0,0,0,>>DiffResult,8.000815136,19.39436246,9.100127819,12.1105483,5.49963522,13.89472724,0.005821486,0.966646283,0.997243497,0.067430435,0.877429917,0.869136915,0.527901164,0.619127562,0.009499575,0.941084092,0.005414586,0.019782898,YES
ACP3-N94-H4N4S1,,,,,,,981138.7389,,,,,,,141086.2745,,,259094.9332,,,,484185.8458,,687091.9668,482247.9233,1147811.453,,,,,501367.3068,,,,184637.7979,,505507.059,199943.7525,,,,382490.6906,375321.8826,,6006787.94,5794429.238,791842.5123,,,538513.3704,,1223136.861,,,,841642.3753,>>NormaExpression,0,0,0,0,0,0,19.9040991,0,0,0,0,0,0,17.10622834,0,0,17.98312685,0,0,0,18.88520436,0,19.39014579,18.87941849,20.1304555,0,0,0,0,18.93551128,0,0,0,17.49434621,0,18.94737457,17.60924189,0,0,0,18.54506888,18.51777273,0,22.51816254,22.46623538,19.59485582,0,0,19.03862532,0,20.22215559,0,0,0,19.68284953,>>DiffResult,2.749672714,9.622073542,5.405096267,16.40944791,7.853848626,13.65977519,0.02708864,0.15557905,0.931818985,0.81136517,0.969081163,0.021806766,0.610963466,0.382850095,0.258342945,0.55344985,0.990769737,0.065972126,NO
ACP3-N94-H5N4,86713.30699,,93963.831,,,,675369.8156,169250.8521,,,,216621.8222,,,,,,,503243.1804,,1139850.694,1407263,1516467.01,1175019.189,2292269.846,811112.1164,790297.3734,976532.2962,4194261.279,866720.563,,,390256.8894,348921.1249,345406.2997,644435.2473,,202281.6256,,,482154.1876,,,7646461.69,6016758.367,400143.1903,,358480.3462,456287.7288,237880.0414,1270916.778,159015.386,,208874.1999,460404.895,>>NormaExpression,16.40398242,0,16.51983327,0,0,0,19.36532031,17.3688121,0,0,0,17.72482572,0,0,0,0,0,0,18.94089906,0,20.1204147,20.42446157,20.53228363,20.16425411,21.12834609,19.6295436,19.59203791,19.89730971,21.99998565,19.72520907,0,0,18.57406827,18.41254556,18.39793905,19.29767812,0,17.62601288,0,0,18.87913804,0,0,22.86636107,22.52055523,18.61016044,0,18.45153852,18.79958749,17.85988077,20.27743927,17.27881591,0,17.67228168,18.81254678,>>DiffResult,5.316183644,20.3213846,9.230824388,12.85321087,14.77622509,15.00520096,0.000284493,0.924981413,0.725484708,0.028447058,0.550273147,0.353945092,0.455851141,0.992500803,0.000153769,0.032032076,0.550315103,0.00201559,YES
ACP3-N94-H5N4F1,,,,,86086.15556,,607646.9956,,,,,234700.3363,,,155094.0566,270118.8634,,,,,205441.4751,544837.3631,1516908.974,1146707.26,2576716.934,1447781.412,659597.2146,839166.4684,1676131.72,241631.3603,,,610854.9389,161946.7821,,,,259216.113,,,96092.37963,,,6080185.65,4739965.521,416131.909,,613562.2771,634175.1247,264262.9406,1631171.075,190116.6178,,311136.899,590829.7368,>>NormaExpression,0,0,0,0,16.39351038,0,19.2128763,0,0,0,0,17.84046653,0,0,17.24279318,18.04324021,0,0,0,0,17.64837496,19.05546876,20.53270404,20.12906696,21.29710319,20.46541336,19.33122797,19.67859923,20.67670496,17.88245415,0,0,19.22047266,17.30516918,0,0,0,17.98380144,0,0,16.55214942,0,0,22.53568418,22.17644544,18.66668486,0,19.22685261,19.27452404,18.01162005,20.63747755,17.5365327,0,18.24719461,19.17238536,>>DiffResult,4.43664433,19.66971176,5.450944328,12.25285581,15.07732718,15.23306743,2.47E-05,0.50095837,0.997076018,0.00132816,0.055998705,0.271136767,0.413286708,0.962605841,5.28E-05,0.007218485,0.675540804,0.000307305,YES
ACP3-N94-H5N4S1,,,,,,213969.6774,9679330.217,370780.7971,,,,3372556.059,,1336679.65,,1199384.205,,,,520478.6208,,7305234.152,,,31140662.49,6585162.504,,,18284317.55,,,,3763663.386,,,3287481.284,,368043.4651,278694.0835,,,,1412606.382,50390546.87,,6425361.792,1496361.647,823201.3832,1080905.95,728149.1205,13617539.65,1594020.87,421922.8781,3219635.27,7460211.104,>>NormaExpression,0,0,0,0,0,17.70705358,23.20647594,18.50021089,0,0,0,21.68541142,0,20.3502234,0,20.19386365,0,0,0,18.98948215,0,22.80049928,0,0,24.89229635,22.65078783,0,0,24.12410352,0,0,0,21.84370655,0,0,21.64855169,0,18.48952055,18.08832803,0,0,0,20.42992911,25.58664981,0,22.61534648,20.51302843,19.65088763,20.0438109,19.47387639,23.69896284,20.60423999,18.68662321,21.61846628,22.83078522,>>DiffResult,7.031636052,9.446768698,8.007010682,9.203315783,20.97360274,13.94196669,0.010878246,0.999443351,0.999024043,0.997447167,0.037601701,0.991902998,0.999999022,0.203104756,0.968901858,0.005324325,0.082330398,0.033030311,YES
ACP3-N94-H5N4S1F1,,1989436.393,244310.6741,,,,,,,,251447.9686,2869729.798,,,8944901.826,17848717.85,,,,,16517059.8,,24313303.4,15695661.88,,7583674.919,,,100041816.5,,912954.4518,1011432.204,,,,4502433.011,5546387.91,1702986.477,,,10256440.1,,629325.0665,17664762.16,,982781.6836,,,,,9543593.01,255250.5771,677168.5886,595368.4244,1403377.129,>>NormaExpression,0,20.92392907,17.89836328,0,0,0,0,0,0,0,17.93990611,21.45248398,0,0,23.09263438,24.08931719,0,0,0,0,23.97745365,0,24.53524265,23.90386262,0,22.85446588,0,0,26.57602793,0,19.80018494,19.94796962,0,0,0,22.1022737,22.40311735,20.6996364,0,0,23.29002688,0,19.26344817,24.07437107,0,19.90651291,0,0,0,0,23.18610124,17.96156035,19.36915766,19.18342561,20.42047235,>>DiffResult,6.2698317,12.18470527,10.4953182,13.32556922,12.00272301,7.055737525,0.487740168,0.989716014,0.857707455,0.996909183,0.998017179,0.702666253,0.999702326,0.99946525,0.637702962,0.66431414,0.999999559,0.569598658,NO
ACP3-N94-H5N4S2,,13040470.63,,,,224716.9114,6214727.537,3838686.636,,,4883425.105,,5986474.066,306914.7846,7977696.075,10976684.14,5111259.994,,,,13042799.36,,17053223.78,14585259.75,22829885.45,4244912.42,356058.0847,7784630.347,35985680.39,4688573.424,4256294.106,263805.9283,3930936.955,,,15721616.31,237410.366,2001635.65,,,7794644.93,,,4768579.381,,,,,,,1412143.501,,,3929134.952,,>>NormaExpression,0,23.63649271,0,0,0,17.7777556,22.56725994,21.87218174,0,0,22.21946224,0,22.51327534,18.22748332,22.92754091,23.3879391,22.28524783,0,0,0,23.63675032,0,24.02354124,23.79800784,24.44442035,22.0173037,18.44175714,22.89219729,25.10091964,22.1607179,22.02116675,18.00912293,21.90644216,0,0,23.9062463,17.85702948,20.93274868,0,0,22.89405206,0,0,22.18512841,0,0,0,0,0,0,20.42945629,0,0,21.90578066,0,>>DiffResult,10.87073194,20.65156154,12.46327563,9.015836093,4.233523695,16.41803785,0.016963714,0.972626214,0.994460937,0.39714075,0.392002639,0.996275614,0.251872645,0.914036089,0.118183315,0.464501111,0.006924842,0.045587544,YES
